Company Name,Date Priced,Market,Offer Amount,Price,Shares,Symbol,1D,1W,1M,3M
VANDA PHARMACEUTICALS INC.,2006-04-12,NASDAQ,57500000,10,5750000,VNDA,-0.005235602,0.082722513,0.060732984,-0.139267016
"DELEK US ENERGY, INC.",2006-05-04,New York Stock Exchange,160000000,16,10000000,DK,0.010552451,0.079453626,-0.084419672,-0.003103786
"BIOMIMETIC THERAPEUTICS, INC.",2006-05-12,NASDAQ,36800000,8,4600000,BMTI,0.132075472,0.037735849,0.005031447,-0.088050314
MASTERCARD INC,2006-05-25,New York Stock Exchange,2399315568,39,61520912,MA,0.148883375,0.203473945,0.166004963,0.322580645
TOWN SPORTS INTERNATIONAL HOLDINGS INC,2006-06-02,NASDAQ,116350000,13,8950000,CLUB,-0.018126888,-0.058912387,-0.093655589,-0.018126888
HOUSTON WIRE & CABLE CO,2006-06-15,NASDAQ,110500000,13,8500000,HWCC,-0.046875,-0.010625,0.0475,0.1825
SYNCHRONOSS TECHNOLOGIES INC,2006-06-15,NASDAQ,56528432,8,7066054,SNCR,-0.016666667,-0.045555556,-0.082222222,-0.027777778
HOME BANCSHARES INC,2006-06-23,NASDAQ,45000000,18,2500000,HOMB,-0.022662865,0.064683511,0.02644001,0.062322768
"PGT INNOVATIONS, INC.",2006-06-28,NASDAQ,123529406,14,8823529,PGTI,0.068965517,0.125517241,0.085517241,0.015862069
ROMA FINANCIAL CORP,2006-07-12,NASDAQ,98195620,10,9819562,ROMA,0.081081081,0.11969112,0.111969112,0.142857143
ISHARES S&P GSCI COMMODITY-INDEXED TRUST,2006-07-21,New York Stock Exchange,697480000,50,13949600,GSG,-0.002026302,0.011144965,-0.028368735,-0.159067848
CHART INDUSTRIES INC,2006-07-26,NASDAQ,187500000,15,12500000,GTLS,0.015333333,0.06,-0.166666667,-0.128
WNS (HOLDINGS) LTD,2006-07-26,New York Stock Exchange,224054160,20,11202708,WNS,0.154028436,0.181042654,0.312796256,0.32559237
"GEOMET, INC.",2006-07-28,NASDAQ,102500000,10,10250000,GMET,0.029767442,0.051162791,0.00372093,0.001860465
SECURITY DEVICES INTERNATIONAL INC.,2006-09-12,OTCBB,562976,0.2,2814880,SDEV,2.533333333,2.533333333,3.666666667,12.46666667
GOLD RESOURCE CORP,2006-09-14,OTCBB,15910707,1,15910707,GORO,-0.043478261,-0.173913043,-0.130434783,0.330434783
COMMVAULT SYSTEMS INC,2006-09-22,NASDAQ,161111110,14.5,11111111,CVLT,0.059375063,0.075624937,0.203125,0.233125
