Symbol,Q1,Q2,Q3,Q4,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,MKT0,MKT1,MKT2,MKT3,MKT4,MKT5,MKT6,MKT7,MKT8,MKT9,MKT10,MKT11,MKT12,Name Words,Name Length,Offer Amount,Price,Shares,1D,1W,1M,3M
STON,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,20,75337500,20.5,3675000,-0.029464286,-0.057589241,-0.037946473,-0.087499955
BECN,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,25,175500000,13.0,13500000,0.08959342099999999,0.123363271,0.171605795,0.46106135299999995
JOBS,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,73500000,14.0,5250000,0.110642782,0.37776607,0.738145522,1.6859852480000002
SIFI,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,24,50255000,10.0,5025500,0.036077669,0.022201617000000003,0.014801133000000001,0.102682686
ACFC,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,27,58190000,10.0,5819000,0.036059777,0.09322775400000001,0.130167134,0.218117919
TXRH,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,21,159397140,17.5,9108408,0.028837209,0.1,0.069767442,0.36046511600000003
NWY,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,24,170000000,17.0,10000000,0.010526368000000001,0.044736842,0.094736789,-0.065789474
TPGI,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,27,171428568,12.0,14285714,0.0008326389999999999,-0.0008326389999999999,-0.013322231,0.057452123
HURN,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,27,77500000,15.5,5000000,0.041081081,0.054054054000000004,0.013513513999999999,0.141081135
BBW,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,25,149640000,20.0,7482000,-0.07777777799999999,-0.10185185199999999,0.12037037,0.27777777800000003
MKTX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,24,55000000,11.0,5000000,0.343529333,0.737254902,0.6988235290000001,0.094117647
ORA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,24,93750000,15.0,6250000,0.039473684,0.049342105,0.125,0.036842105
MPWR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,28,46750000,8.5,5500000,0.092715232,0.103752759,0.092715232,-0.200883002
CHCI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,32,63360000,16.0,3960000,-0.10578947400000001,0.021052654,0.051052579,0.287368429
KNL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,165680220,15.0,11045348,0.04294484900000001,0.04294484900000001,0.024540002,0.046012273
LVS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,20,690476196,29.0,23809524,0.147971258,0.126491617,0.01789976,0.11336515
NCTY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,103275000,17.0,6075000,0.177952715,0.11601044199999999,0.04986873,-0.10498687300000001
OTT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,29,131616800,15.2,8659000,-0.006514658,0.013680781999999999,0.024755700000000002,0.00781759
MIC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,33,535000000,25.0,21400000,0.030018799,0.016885553,0.081801126,0.08442776699999999
